#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: DEMO
#Date Time: 2020-02-25 15:55:32.033
#Start: 10 Hz
#Stop: 10000 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.57422 V
#Offset: 0.000269454 V
#Relative: no
#Channel: Channel 2
#Range: 5.51641 V
#Offset: 0.000317814 V
#Relative: yes

Frequency (Hz)	Channel 1 Magnitude (dB)	Channel 2 Magnitude (dB)	Channel 2 Phase (deg)
239.8832919019491	0.02285131734211083	-0.2782695485855708	-12.56644317039808
251.1886431509582	0.02322781407891475	-0.3009988408294316	-13.12659979979762
263.0267991895385	0.02286856758858112	-0.3246424787339541	-13.70659722816634
275.4228703338167	0.02324177226414994	-0.3509533360100979	-14.3123070571704
288.4031503126608	0.02353501740679716	-0.3789799329498589	-14.93871078854853
301.9951720402019	0.02279999845152067	-0.4094352483831958	-15.59223396214619
316.2277660168381	0.02295441850463801	-0.4422535020941596	-16.26931645770739
331.1311214825913	0.02258112883378208	-0.4781701813168346	-16.97184825824421
346.7368504525317	0.02287536034032466	-0.5168814885109156	-17.70077664202984
363.0780547701016	0.02276544131631233	-0.5580570225995023	-18.45936940339431
380.1893963205612	0.02326082840378992	-0.6029846497988884	-19.23938778102575
